iteration,cpu_time,of_value,duality_gap,Variant,seed,max_clique
32,0.7308647632598877,2.225067961251777e-05,4.765140450513721e-05,FW,0,26
33,0.7642629146575928,2.206453808527228e-05,4.9796602901320125e-05,FW,0,26
34,0.8018479347229004,2.186158810582912e-05,4.842811230065694e-05,FW,0,26
35,0.8421120643615723,2.149728554958257e-05,4.058461194565146e-05,FW,0,26
36,0.8880629539489746,2.123959103222656e-05,3.8568577380152424e-05,FW,0,26
37,0.9331707954406738,2.1035988838643608e-05,3.9489120289298176e-05,FW,0,26
38,0.9692537784576416,1.9736487356029768e-05,3.764316464633471e-05,FW,0,26
39,1.0137510299682617,1.9462724707228606e-05,3.5284179656032926e-05,FW,0,26
40,1.0487968921661377,1.8337586332965433e-05,3.08053844213556e-05,FW,0,26
41,1.0829088687896729,1.7515426407911616e-05,3.0004500220994044e-05,FW,0,26
42,1.1260530948638916,1.738313694353948e-05,2.8442853379200313e-05,FW,0,26
43,1.169283151626587,1.722033692478099e-05,2.7246960534513273e-05,FW,0,26
44,1.2107388973236084,1.713958096533556e-05,2.748412264374318e-05,FW,0,26
45,1.256455898284912,1.6986022464063287e-05,2.7567047603353492e-05,FW,0,26
46,1.3012609481811523,1.6811518123214138e-05,2.7618368642670645e-05,FW,0,26
47,1.3478929996490479,1.6652571767082206e-05,2.786113243091038e-05,FW,0,26
48,1.4000880718231201,1.6511395597269144e-05,2.868305365585135e-05,FW,0,26
49,1.456939935684204,1.6329928603613802e-05,2.752975449732876e-05,FW,0,26
50,1.5035781860351562,1.5676356323569033e-05,2.934184393156009e-05,FW,0,26
51,1.5522758960723877,1.5564020561333244e-05,2.849895458985969e-05,FW,0,26
52,1.5938239097595215,1.5496200136536638e-05,2.6292950921452666e-05,FW,0,26
53,1.6369798183441162,1.5441445537789137e-05,2.7430751654781836e-05,FW,0,26
54,1.6778490543365479,1.533067531447698e-05,2.4891792844881652e-05,FW,0,26
55,1.7239837646484375,1.5164952351580186e-05,2.620904806205481e-05,FW,0,26
56,1.7692217826843262,1.4998600053095079e-05,2.5675233744676024e-05,FW,0,26
57,1.8185698986053467,1.4859953164935055e-05,2.447732693239608e-05,FW,0,26
58,1.8612868785858154,1.4588947265651705e-05,2.4856583258846e-05,FW,0,26
59,1.907562017440796,1.4455604100557612e-05,2.2443151901080153e-05,FW,0,26
60,1.9404349327087402,1.4072494430389643e-05,2.504192094406317e-05,FW,0,26
61,1.9841039180755615,1.3997060566708382e-05,2.5823366528021557e-05,FW,0,26
62,2.026533842086792,1.380638109050918e-05,2.5235904887239315e-05,FW,0,26
63,2.068293809890747,1.360750902458922e-05,2.5680675382157032e-05,FW,0,26
64,2.1099979877471924,1.3398783803351155e-05,2.349590033517839e-05,FW,0,26
65,2.159435987472534,1.3341237610544147e-05,2.4589520842293863e-05,FW,0,26
66,2.200176954269409,1.3245391771584398e-05,2.548778045470793e-05,FW,0,26
67,2.241107940673828,1.310095483816355e-05,2.5290487330186984e-05,FW,0,26
68,2.2833547592163086,1.2921699825429749e-05,2.0571314002447945e-05,FW,0,26
69,2.329127788543701,1.286021410021187e-05,2.0449852525010547e-05,FW,0,26
70,2.3641068935394287,1.2565462615937568e-05,2.3511667605046886e-05,FW,0,26
71,2.4139950275421143,1.2388927753430734e-05,2.2046448280124334e-05,FW,0,26
72,2.4595680236816406,1.226409309890467e-05,2.1806033497985467e-05,FW,0,26
73,2.502502918243408,1.214788109507791e-05,2.2247434484432338e-05,FW,0,26
