iteration,cpu_time,of_value,duality_gap,Variant,seed,max_clique
39,0.5180399417877197,0.00044781308067898224,0.0002707876107768845,FW,0,6
40,0.5334329605102539,0.00044696488778151323,0.0003420005392911817,FW,0,6
41,0.548541784286499,0.00044462548983414165,0.00019212372490476273,FW,0,6
42,0.5646398067474365,0.00044411513673458153,0.0002477648455852899,FW,0,6
43,0.579089879989624,0.0004435226051152226,0.00024160084533663792,FW,0,6
44,0.5947668552398682,0.0004423561402075005,0.0002781944084174968,FW,0,6
45,0.6100819110870361,0.0004412611786701109,0.00021438066094956745,FW,0,6
46,0.6261749267578125,0.00044049588178495555,0.0002558072621691158,FW,0,6
47,0.6424827575683594,0.0004399639586955907,0.000264062939769425,FW,0,6
48,0.658660888671875,0.0004391188599175141,0.00025312768943494925,FW,0,6
49,0.6760797500610352,0.00043861578457513126,0.00028238699054889793,FW,0,6
50,0.6936788558959961,0.00043732564735973875,0.0002537884595002303,FW,0,6
51,0.7114768028259277,0.0004368229972131377,0.000331298340617063,FW,0,6
52,0.7294318675994873,0.00043462099208722095,0.00025256636861795763,FW,0,6
53,0.7482988834381104,0.00043330548319559734,0.00023251966176147243,FW,0,6
54,0.7697048187255859,0.00043221675282102223,0.00019512743412417673,FW,0,6
55,0.7933318614959717,0.0004317156232548577,0.00019667526622355768,FW,0,6
56,0.8162529468536377,0.00043111530369462927,0.0001444020686904587,FW,0,6
57,0.8404128551483154,0.00043080008009866404,0.00017638742331909326,FW,0,6
58,0.8634459972381592,0.0004305479316295336,0.0002260196863058975,FW,0,6
59,0.8864157199859619,0.0004296123752486042,0.00020890723496544905,FW,0,6
60,0.9100308418273926,0.0004288671510256325,0.0001747199581268626,FW,0,6
61,0.9351339340209961,0.00042824550812294054,0.0001589844970864735,FW,0,6
62,0.9595136642456055,0.0004277464102218716,0.00019487594743432263,FW,0,6
63,0.9833667278289795,0.00042725297210517233,0.00013915881024784368,FW,0,6
64,1.008836030960083,0.0004269766532504319,0.00016579058615306011,FW,0,6
65,1.033038854598999,0.00042644891412918615,0.00014902362068680924,FW,0,6
66,1.0573399066925049,0.00042608452914558214,0.00017444685884930144,FW,0,6
67,1.0807087421417236,0.0004258389461491715,0.0001913237658709906,FW,0,6
68,1.1040029525756836,0.0004253245496049411,0.00013958499220681044,FW,0,6
69,1.1278877258300781,0.0004250561218909695,0.00017343749128785428,FW,0,6
70,1.1531798839569092,0.0004244375019813379,0.00019725819418130893,FW,0,6
71,1.1790268421173096,0.0004239116398580829,0.00019978933327541046,FW,0,6
72,1.202955961227417,0.0004233417858354617,0.00013808577430920243,FW,0,6
73,1.2297489643096924,0.0004230665079959353,0.00013775161199107577,FW,0,6
74,1.2572920322418213,0.0004227841196888747,0.0001740895890630598,FW,0,6
75,1.2811777591705322,0.0004221706709939264,0.00020342259452370165,FW,0,6
76,1.3045639991760254,0.00042152767553222737,0.00014029856810250505,FW,0,6
77,1.3341259956359863,0.0004212525496831163,0.00012482919922327538,FW,0,6
78,1.3606109619140625,0.0004211286102127358,0.000154421343628108,FW,0,6
79,1.3886559009552002,0.0004206909451457024,0.00015244983527729614,FW,0,6
80,1.4164738655090332,0.0004202623364217897,0.00018687082850899094,FW,0,6
81,1.4423878192901611,0.0004198811596538626,0.0001302572175656764,FW,0,6
82,1.4684667587280273,0.0004196943831617663,0.00015800706874265728,FW,0,6
83,1.4953038692474365,0.0004192424496505932,0.0001428361699918285,FW,0,6
84,1.521812915802002,0.0004189386375832279,0.00016946748583602343,FW,0,6
85,1.5471279621124268,0.00041835134239848193,0.0001660699479367344,FW,0,6
86,1.575286865234375,0.00041778722977658196,9.30507294679095e-05,FW,0,6
0,0.0,0.014624014725603983,0.014292197190061957,AFW,0,6
1,0.004980802536010742,0.014563248825628311,0.014057403814335226,AFW,0,6
2,0.009595870971679688,0.013887946712615043,0.011840528273597418,AFW,0,6
3,0.01462697982788086,0.013883813219465167,0.011850471763453767,AFW,0,6
4,0.01990795135498047,0.013838556511837373,0.011992229154769432,AFW,0,6
5,0.024588823318481445,0.013805890611884808,0.012117862291940132,AFW,0,6
6,0.029500722885131836,0.013682862782414519,0.01270462649347407,AFW,0,6
7,0.03724384307861328,0.00972502022361143,0.021090713204670666,AFW,0,6
8,0.04448294639587402,0.007369425913418019,0.023208516309134123,AFW,0,6
9,0.05193591117858887,0.006056133215715514,0.02208654479616966,AFW,0,6
10,0.062439918518066406,0.0025517246088256223,0.009323370204775475,AFW,0,6
11,0.07340884208679199,0.0016633640530181017,0.005528102856716129,AFW,0,6
12,0.08612990379333496,0.0013061197824140798,0.0019988722944453583,AFW,0,6
13,0.10374689102172852,0.0012622708132920693,0.0018315435896084885,AFW,0,6
14,0.1208639144897461,0.0012272611703685343,0.000824731652005066,AFW,0,6
15,0.1258387565612793,0.0012250718709301525,0.0008077599537972617,AFW,0,6
16,0.14928674697875977,0.001219727652384947,0.0005534326163302827,AFW,0,6
17,0.17250394821166992,0.0012173374985388124,0.000521184027002565,AFW,0,6
18,0.18341779708862305,0.0011527408569337284,0.00164028461234365,AFW,0,6
19,0.18810081481933594,0.0010925585160302708,0.0015658648992578966,AFW,0,6
20,0.19295883178710938,0.0010416926918988562,0.0015444751586608581,AFW,0,6
21,0.19787383079528809,0.0009865308571293877,0.0015843374751917552,AFW,0,6
22,0.20235800743103027,0.0009161299327279185,0.0016479710472319725,AFW,0,6
23,0.20644879341125488,0.000863758741709219,0.0016952224485445718,AFW,0,6
24,0.21093988418579102,0.0008630981474484835,0.0017024154595219466,AFW,0,6
25,0.21561789512634277,0.0008514480569130432,0.0018314547589038759,AFW,0,6
26,0.21991181373596191,0.0008264423192405883,0.0018426988643028834,AFW,0,6
27,0.22441792488098145,0.0008099900422463965,0.002023182001654106,AFW,0,6
28,0.2287137508392334,0.0007996612953113081,0.0020298041169541396,AFW,0,6
29,0.23340582847595215,0.0007767686096423206,0.0022967306554554394,AFW,0,6
30,0.23845887184143066,0.0007565241284968218,0.00231242485462177,AFW,0,6
31,0.24284577369689941,0.0007243758145050463,0.0023358767401599643,AFW,0,6
32,0.24721980094909668,0.0007218643091134189,0.0023254265487324516,AFW,0,6
33,0.26090073585510254,0.000585370419144736,0.0013652458192335158,AFW,0,6
34,0.2735128402709961,0.0005290571564193102,0.001246140629970478,AFW,0,6
35,0.28661179542541504,0.0004522596940775095,0.0011799721729636083,AFW,0,6
36,0.3022127151489258,0.00041687640408058946,0.0008406621565176836,AFW,0,6
37,0.32375192642211914,0.0004047399154262075,0.0008036477970783838,AFW,0,6
38,0.3455779552459717,0.00039432282830472034,0.0003378311814501377,AFW,0,6
39,0.3583998680114746,0.0003918265942397316,0.00035963628911670484,AFW,0,6
40,0.3754308223724365,0.00038916048528403154,0.0002521828693667923,AFW,0,6
41,0.39966678619384766,0.0003886503620422184,0.00027200889304985365,AFW,0,6
42,0.42209291458129883,0.00038771766528676306,0.00022245639604296535,AFW,0,6
43,0.4443676471710205,0.0003868100783518566,0.00014570523474414577,AFW,0,6
44,0.46721792221069336,0.00038647228646840196,0.00012744417454626405,AFW,0,6
45,0.4925549030303955,0.0003863163392316892,0.0001234931443916175,AFW,0,6
46,0.518568754196167,0.000386003696082894,7.194233324749337e-05,AFW,0,6
0,0.0,0.014624014725603983,0.014292197190061957,PFW,0,6
1,0.0038330554962158203,0.014523714437951788,0.014258900052175772,PFW,0,6
2,0.0075609683990478516,0.013509444157744315,0.013864139112268838,PFW,0,6
3,0.010911941528320312,0.013502404778851534,0.013881926068516673,PFW,0,6
4,0.014438867568969727,0.013420495378995624,0.014112531950342462,PFW,0,6
5,0.017810821533203125,0.013356051888414088,0.01430617376422863,PFW,0,6
6,0.021200895309448242,0.013085085725846261,0.01511151947003941,PFW,0,6
7,0.024597883224487305,0.013050985583914598,0.015220714824511514,PFW,0,6
8,0.02799677848815918,0.01197598241659199,0.014223359831973554,PFW,0,6
9,0.031401872634887695,0.01162038835815165,0.014895052493516995,PFW,0,6
10,0.034982919692993164,0.011117751300733562,0.015636124460021203,PFW,0,6
11,0.03846096992492676,0.009467518157659631,0.015001154116705918,PFW,0,6
12,0.041738033294677734,0.00888242446656009,0.013040517643139325,PFW,0,6
13,0.04531407356262207,0.007558697531145428,0.008180245685371419,PFW,0,6
14,0.04878997802734375,0.006655182881135891,0.005899446092443087,PFW,0,6
15,0.052258968353271484,0.005903575540531351,0.005462397389874777,PFW,0,6
16,0.05558180809020996,0.005314190632753641,0.00694407532617858,PFW,0,6
17,0.05898284912109375,0.004048973748007896,0.0042579415624436154,PFW,0,6
18,0.062323808670043945,0.003567094900637645,0.004592380131717556,PFW,0,6
19,0.0657961368560791,0.0028623669847551462,0.0038019955487124334,PFW,0,6
20,0.07416081428527832,0.002781290880213548,0.003584765759345445,PFW,0,6
21,0.07767486572265625,0.0021704860704145233,0.003513293929829058,PFW,0,6
22,0.08091115951538086,0.0014900259611322127,0.0041106550823056835,PFW,0,6
23,0.08390402793884277,0.001090568565003159,0.004305765805014741,PFW,0,6
24,0.0878138542175293,0.0008215242017237342,0.0030368425461987365,PFW,0,6
25,0.09302711486816406,0.0006214038736469333,0.0020203205849753485,PFW,0,6
26,0.09896588325500488,0.0005645260710051055,0.0015936203043535003,PFW,0,6
27,0.10619592666625977,0.0004939632578880918,0.0012179379299567946,PFW,0,6
28,0.11353898048400879,0.0004599214406079984,0.000996809174550139,PFW,0,6
29,0.12195897102355957,0.0004280662730836072,0.0006827405689534727,PFW,0,6
30,0.13058781623840332,0.00041172543395805395,0.0004745888891921552,PFW,0,6
31,0.1403048038482666,0.00040166297424684396,0.00041584397604262145,PFW,0,6
32,0.15170979499816895,0.0003945439264712578,0.0003057952893017015,PFW,0,6
