iteration,cpu_time,of_value,duality_gap,Variant,SSC,seed,max_clique
0,0.0,0.0331597389528569,0.0052245829101699,AFW,True,0,6
1,9.44498896598816,0.0202865386407675,0.0289990514688423,AFW,True,0,6
2,12.158656120300291,0.0157380170314818,0.0082039987852472,AFW,True,0,6
3,13.481462001800535,0.0089651621973372,0.0137437487688095,AFW,True,0,6
4,22.19726800918579,0.0075574899087439,0.017084668906309,AFW,True,0,6
5,24.281338930130005,0.0040755008677706,0.0067907327477587,AFW,True,0,6
6,30.140076160430908,0.0036002242020807,0.0062595504204406,AFW,True,0,6
7,36.30684399604797,0.0030856698277241,0.0072565605463772,AFW,True,0,6
8,41.58063793182373,0.0029018873874578,0.0095125500557502,AFW,True,0,6
9,43.256958961486816,0.0015008338461924,0.0025955008333613,AFW,True,0,6
10,48.7360680103302,0.0014294968349484,0.0025458105415826,AFW,True,0,6
11,52.8513081073761,0.0013864672751485,0.0024626342767501,AFW,True,0,6
12,55.52978706359863,0.0012660891506339,0.0014100201215902,AFW,True,0,6
13,60.28376507759094,0.0012208400311893,0.0016138035323794,AFW,True,0,6
14,61.337095975875854,0.001003922265977,0.00105968576529,AFW,True,0,6
15,68.02176403999329,0.0007328429818521,0.0027596277289848,AFW,True,0,6
16,69.70620703697205,0.0004436510448969,0.0012329327446382,AFW,True,0,6
17,71.5900502204895,0.0003958385717477,0.000445207237693,AFW,True,0,6
18,73.2661600112915,0.0003915529653512,0.0004412466083366,AFW,True,0,6
19,74.94640707969666,0.0003873270292189,0.0001568742245299,AFW,True,0,6
20,76.64009809494019,0.0003867232978512,0.0001284853464296,AFW,True,0,6
21,78.30004906654358,0.0003863522340732,0.0001063913505732,AFW,True,0,6
22,79.99152398109436,0.0003860959108439,8.805643701862256e-05,AFW,True,0,6
0,0.0,0.0331597389528569,0.0052245829101699,AFW,False,0,6
1,0.8638248443603516,0.0331337032505776,0.0052496719055546,AFW,False,0,6
2,1.7387089729309082,0.0331280587018339,0.005253804541761,AFW,False,0,6
3,2.5666749477386475,0.0331173268860185,0.0052795819193444,AFW,False,0,6
4,3.3955109119415283,0.0331164772233101,0.0052806215382716,AFW,False,0,6
5,4.226989984512329,0.0330745475322552,0.0053736117304463,AFW,False,0,6
6,5.065691947937012,0.0330279300154665,0.0052571342894589,AFW,False,0,6
7,5.897202968597412,0.0329974231607559,0.0053133967631318,AFW,False,0,6
8,6.717306852340698,0.0329896742720075,0.0052590632707704,AFW,False,0,6
9,7.552469968795776,0.0329381987204562,0.0053537808314508,AFW,False,0,6
10,8.384580850601196,0.0328981830621204,0.0055080035375774,AFW,False,0,6
11,9.20470094680786,0.0328839750326108,0.0053845414160299,AFW,False,0,6
12,10.033349752426147,0.0328728073866873,0.0054022647735706,AFW,False,0,6
13,10.8645179271698,0.032756752472313,0.0051096389481108,AFW,False,0,6
14,11.701619863510132,0.0326731683018281,0.0054249776793367,AFW,False,0,6
15,12.533344984054564,0.0325245069230398,0.0056694693775309,AFW,False,0,6
16,13.3750319480896,0.0324454077304373,0.0059563642276663,AFW,False,0,6
