iteration,cpu_time,of_value,duality_gap,Variant,SSC,seed,max_clique
0,0.0,0.014624014725603983,0.014292197190061957,AFW,True,0,6
1,0.034789085388183594,0.008576699210814234,0.01258819970219507,AFW,True,0,6
2,0.05005192756652832,0.005223793374381325,0.008255987086785654,AFW,True,0,6
3,0.06883907318115234,0.0042771008744900765,0.007528263491179238,AFW,True,0,6
4,0.08141922950744629,0.0028155138787618146,0.004228029676623949,AFW,True,0,6
5,0.10333800315856934,0.0023629958937546078,0.003665000010406206,AFW,True,0,6
6,0.11523008346557617,0.0016233749377692578,0.003405177844808491,AFW,True,0,6
7,0.12904000282287598,0.0014466509919901552,0.0037826266786503294,AFW,True,0,6
8,0.1420271396636963,0.001201839262557452,0.0026188860390187587,AFW,True,0,6
9,0.15207886695861816,0.0008991047408846873,0.0015451108915421335,AFW,True,0,6
10,0.17233586311340332,0.0006647925731003506,0.0010266968621325011,AFW,True,0,6
11,0.18383502960205078,0.0006464078419569289,0.00042858256656764637,AFW,True,0,6
12,0.200423002243042,0.0006366495143675995,0.0025459629184290716,AFW,True,0,6
13,0.20848703384399414,0.0003890716628031478,0.0003005236802108623,AFW,True,0,6
14,0.2194960117340088,0.00038713427760075176,0.00015303101559965149,AFW,True,0,6
15,0.230118989944458,0.0003866380385989523,0.00010497404326994674,AFW,True,0,6
16,0.24056315422058105,0.00038633873438806925,8.50074054876053e-05,AFW,True,0,6
0,0.0,0.014624014725603983,0.014292197190061957,AFW,False,0,6
1,0.0048449039459228516,0.014563248825628311,0.014057403814335226,AFW,False,0,6
2,0.00981283187866211,0.013887946712615043,0.011840528273597418,AFW,False,0,6
3,0.014415740966796875,0.013883813219465167,0.011850471763453767,AFW,False,0,6
4,0.018672704696655273,0.013838556511837373,0.011992229154769432,AFW,False,0,6
5,0.023155927658081055,0.013805890611884808,0.012117862291940132,AFW,False,0,6
6,0.02703094482421875,0.013682862782414519,0.01270462649347407,AFW,False,0,6
7,0.034886837005615234,0.008384567573649637,0.01025403101543829,AFW,False,0,6
8,0.03838777542114258,0.008373118403552461,0.01023386163132571,AFW,False,0,6
9,0.04171276092529297,0.00822883413347115,0.010240545230286578,AFW,False,0,6
10,0.04507589340209961,0.005404179824803266,0.00695084105613521,AFW,False,0,6
11,0.04846787452697754,0.005253206207456597,0.006528627920806605,AFW,False,0,6
12,0.05182790756225586,0.004466864286607907,0.004659462904655442,AFW,False,0,6
13,0.055140018463134766,0.004279487736525872,0.004318956699503187,AFW,False,0,6
14,0.058342933654785156,0.004076133640306233,0.004505919845725148,AFW,False,0,6
15,0.06129574775695801,0.003991993664776133,0.005273421222248581,AFW,False,0,6
16,0.06449389457702637,0.0038645201687846943,0.0057180903391887885,AFW,False,0,6
17,0.06734085083007812,0.003029207374743572,0.0043461628786018395,AFW,False,0,6
18,0.0704507827758789,0.0027626928902104476,0.004848493002391895,AFW,False,0,6
19,0.07387185096740723,0.0026079896570947265,0.005247719909987891,AFW,False,0,6
20,0.07682609558105469,0.002491108596858833,0.005200618111373584,AFW,False,0,6
21,0.0815737247467041,0.0021759754276633207,0.003491232186778856,AFW,False,0,6
22,0.08459901809692383,0.002105987109513127,0.00433563524066579,AFW,False,0,6
23,0.08794069290161133,0.0018055432798885895,0.003701725803836014,AFW,False,0,6
24,0.09099102020263672,0.0016138973923401296,0.0042924227057091,AFW,False,0,6
25,0.09385085105895996,0.0013285173613763938,0.0023039299553991237,AFW,False,0,6
26,0.09755373001098633,0.0012452425168848632,0.002674474624925435,AFW,False,0,6
27,0.10070276260375977,0.001145998943455356,0.002286433868056258,AFW,False,0,6
28,0.10416388511657715,0.001090520779372247,0.00436076285004759,AFW,False,0,6
